finalSentID,FinalWord,finalNER,finalPOS,finalTrueLabel
9,first,O,RB,I-Action
9,analyzed,O,VBN,I-Action
9,to,B-relevant_term,TO,B-Modifier
9,ensure,B-malware.backdoor,VB,B-Entity
9,that,B-malware.backdoor,IN,I-Entity
9,it,O,PRP,I-Entity
9,is,B-relevant_term,VBZ,I-Entity
9,of,B-malware.backdoor,IN,I-Entity
9,interest,O,NN,I-Entity
9,to,B-relevant_term,TO,I-Entity
9,them,O,PRP,I-Entity
9,.,O,.,O
10,One,O,CD,O
10,of,B-malware.backdoor,IN,O
10,the,O,DT,O
10,obvious,O,JJ,O
10,tasks,O,NNS,O
10,performed,O,VBN,O
10,by,O,IN,O
10,attackers,O,NNS,B-Entity
10,is,B-relevant_term,VBZ,O
10,to,B-relevant_term,TO,O
10,install,O,NN,B-Action
10,key,O,NN,B-Entity
10,loggers,O,NNS,I-Entity
10,",",O,",",O
10,dump,O,NN,B-Action
10,local,O,JJ,B-Entity
10,credentials,O,NNS,I-Entity
10,",",O,",",O
10,search,O,NN,B-Action
10,local,O,JJ,B-Entity
10,storage,O,NN,I-Entity
10,for,O,IN,B-Modifier
10,saved,O,VBN,B-Entity
10,accounts,O,NNS,I-Entity
10,and,O,CC,O
10,sniff,O,NN,B-Action
10,the,O,DT,B-Entity
10,network,O,NN,I-Entity
10,for,O,IN,B-Modifier
10,passwords,O,NNS,B-Entity
10,.,O,.,O
11,Often,O,RB,B-Entity
11,small,O,JJ,I-Entity
11,scripts,O,NNS,I-Entity
11,or,O,CC,I-Entity
11,even,O,RB,I-Entity
11,manual,O,JJ,I-Entity
11,commands,O,NNS,I-Entity
11,are,O,VBP,B-Action
11,used,O,VBN,I-Action
11,to,B-relevant_term,TO,B-Modifier
11,comb,O,NN,B-Entity
11,through,O,IN,I-Entity
11,local,O,JJ,I-Entity
11,files,O,NNS,I-Entity
11,and,O,CC,I-Entity
11,create,O,NN,I-Entity
11,network,O,NN,I-Entity
11,mappings,B-malware.backdoor,NNS,I-Entity
11,.,O,.,O
12,Simple,O,NN,O
12,system,O,NN,O
12,commands,O,NNS,O
12,can,O,MD,O
12,help,O,NN,O
12,the,O,DT,B-Entity
12,attacker,O,NN,I-Entity
12,to,B-relevant_term,TO,O
12,learn,O,NN,B-Action
12,about,O,IN,B-Modifier
12,installed,O,VBN,B-Entity
12,security,O,NN,I-Entity
12,tools,O,NNS,I-Entity
12,",",O,",",I-Entity
12,saved,O,VBN,I-Entity
12,links,O,NNS,I-Entity
12,to,B-relevant_term,TO,I-Entity
12,internal,O,JJ,I-Entity
12,platforms,O,NNS,I-Entity
12,and,O,CC,I-Entity
12,local,O,JJ,I-Entity
12,address,O,NN,I-Entity
12,books,O,NNS,I-Entity
12,.,O,.,O
13,In,O,IN,O
13,some,O,DT,O
13,instances,B-relevant_term,NNS,O
13,they,O,PRP,B-Entity
13,might,B-relevant_term,MD,O
13,even,O,RB,O
13,use,O,NN,B-Action
13,zero-day,B-malware.infosteal,NN,B-Entity
13,vulnerabilities,O,NNS,I-Entity
13,to,B-relevant_term,TO,B-Modifier
13,spread,B-malware.backdoor,NN,B-Entity
13,further,B-relevant_term,RB,I-Entity
13,into,I-malware.backdoor,IN,I-Entity
13,the,O,DT,I-Entity
13,network,O,NN,I-Entity
13,.,O,.,O
14,One,O,CD,O
14,method,O,NN,O
14,which,O,WDT,O
14,is,B-relevant_term,VBZ,O
14,gaining,O,VBG,O
14,more,B-relevant_term,RBR,O
14,relevance,B-malware.infosteal,NN,O
14,is,B-relevant_term,VBZ,O
14,the,O,DT,O
14,hijacking,B-malware.infosteal,VBG,B-Action
14,of,O,IN,O
14,local,O,JJ,B-Entity
14,software,O,NN,I-Entity
14,distribution,B-malware.infosteal,NN,I-Entity
14,systems,O,NNS,I-Entity
14,for,O,IN,B-Modifier
14,further,B-relevant_term,RB,B-Entity
14,distribution,O,NN,I-Entity
14,.,O,.,O
15,Once,O,RB,O
15,the,O,DT,O
15,attackers,O,NNS,O
15,have,B-malware.infosteal,VB,O
15,successfully,B-malware.infosteal,RB,O
15,managed,O,VBN,O
15,to,B-relevant_term,TO,O
15,create,O,NN,O
15,and,O,CC,O
15,distribute,O,NN,O
15,their,O,PRP$,O
15,own,O,JJ,O
15,package,O,NN,O
15,",",O,",",O
15,they,O,PRP,B-Entity
15,can,O,MD,O
15,easily,B-malware.infosteal,RB,O
15,infect,O,NN,B-Action
15,all,O,DT,B-Entity
15,connected,O,VBN,I-Entity
15,systems,O,NNS,I-Entity
15,at,O,IN,B-Modifier
15,once,O,RB,B-Entity
15,.,O,.,O
16,If,O,IN,O
16,the,O,DT,O
16,target,O,NN,O
16,is,B-relevant_term,VBZ,O
16,assumed,O,VBN,O
16,to,B-relevant_term,TO,O
16,be,O,VB,O
16,in,O,IN,O
16,a,O,DT,O
16,separated,O,VBN,O
16,network,O,NN,O
16,not,B-malware.drop,RB,O
16,connected,O,VBN,O
16,to,B-relevant_term,TO,O
16,the,O,DT,O
16,Internet,B-version,NN,O
16,",",O,",",O
16,the,O,DT,B-Entity
16,malware,O,NN,I-Entity
16,used,O,VBN,O
16,might,B-relevant_term,MD,O
16,try,O,NN,O
16,and,O,CC,O
16,autonomously,O,RB,B-Action
16,infect,O,NN,I-Action
16,removable,O,JJ,B-Entity
16,drives,O,NNS,I-Entity
16,",",O,",",I-Entity
16,like,O,IN,I-Entity
16,USB,O,NN,I-Entity
16,sticks,O,NNS,I-Entity
16,",",O,",",I-Entity
16,or,O,CC,I-Entity
16,project,O,NN,I-Entity
16,files,O,NNS,I-Entity
16,for,O,IN,I-Entity
16,PLCs,O,NN,I-Entity
16,.,O,.,O
17,This,O,DT,O
17,could,O,MD,O
17,allow,O,VB,O
17,the,O,DT,B-Entity
17,malware,O,NN,I-Entity
17,to,B-relevant_term,TO,O
17,be,O,VB,O
17,manually,B-malware.backdoor,RB,O
17,introduced,O,VBN,B-Action
17,to,B-relevant_term,TO,B-Modifier
17,the,O,DT,B-Entity
17,destination,O,NN,I-Entity
17,network,O,NN,I-Entity
17,",",O,",",O
17,without,O,IN,O
17,the,O,DT,O
17,knowledge,O,NN,O
17,of,B-malware.backdoor,IN,O
17,the,O,DT,O
17,carrier,B-malware.infosteal,NN,O
17,",",O,",",O
17,essentially,O,RB,O
17,jumping,O,NN,B-Action
17,air,O,NN,B-Entity
17,gaps,B-relevant_term,NNS,I-Entity
17,into,B-malware.infosteal,IN,B-Modifier
17,isolated,B-relevant_term,JJ,B-Entity
17,networks,O,NNS,I-Entity
17,.,O,.,O
18,At,O,IN,O
18,the,O,DT,O
18,end,O,NN,O
18,of,B-malware.backdoor,IN,O
18,the,O,DT,O
18,discovery,B-relevant_term,NN,O
18,phase,O,NN,O
18,the,O,DT,B-Entity
18,attackers,O,NNS,I-Entity
18,should,O,MD,O
18,know,O,VB,B-Action
18,the,O,DT,B-Entity
18,internals,B-relevant_term,NNS,I-Entity
18,of,B-malware.backdoor,IN,I-Entity
18,the,O,DT,I-Entity
18,infected,O,VBN,I-Entity
18,networks,O,NNS,I-Entity
18,and,O,CC,O
18,have,O,VB,O
18,identified,O,VBN,B-Action
18,systems,O,NNS,B-Entity
18,with,O,IN,I-Entity
18,interesting,O,VBG,I-Entity
18,data,O,NNS,I-Entity
18,or,O,CC,I-Entity
18,with,O,IN,I-Entity
18,connected,O,VBN,I-Entity
18,industrial,O,JJ,I-Entity
18,control,O,NN,I-Entity
18,systems,O,NNS,I-Entity
18,.,O,.,O
19,In,O,IN,O
19,this,O,DT,O
19,phase,O,NN,O
19,the,O,DT,B-Entity
19,interesting,O,VBG,I-Entity
19,data,O,NNS,I-Entity
19,is,B-relevant_term,VBZ,B-Action
19,gathered,O,VBN,I-Action
19,and,O,CC,O
19,sent,O,NN,B-Action
19,back,O,RB,I-Action
19,to,B-relevant_term,TO,B-Modifier
19,the,O,DT,B-Entity
19,attackers,O,NNS,I-Entity
19,.,O,.,O
20,The,O,DT,B-Entity
20,simple,O,NN,I-Entity
20,attacks,O,NNS,I-Entity
20,compress,O,NN,B-Action
20,the,O,DT,B-Entity
20,files,O,NNS,I-Entity
20,and,O,CC,O
20,upload,O,NN,B-Action
20,them,O,PRP,B-Entity
20,through,O,IN,B-Modifier
20,FTP,O,NN,B-Entity
20,or,O,CC,O
20,through,O,IN,B-Modifier
20,a,O,DT,B-Entity
20,HTTP,O,NN,I-Entity
20,POST,O,NN,I-Entity
20,request,O,NN,I-Entity
20,to,B-relevant_term,TO,I-Entity
20,a,O,DT,I-Entity
20,remote,O,NN,I-Entity
20,drop,O,NN,I-Entity
20,server,O,NN,I-Entity
20,.,O,.,O
21,More,O,RBR,B-Entity
21,sophisticated,O,JJ,I-Entity
21,attackers,O,NNS,I-Entity
21,obfuscate,O,NN,B-Action
21,the,O,DT,B-Entity
21,data,O,NNS,I-Entity
21,by,O,IN,B-Modifier
21,XOR-ing,B-relevant_term,NN,B-Entity
21,it,O,PRP,I-Entity
21,",",O,",",I-Entity
21,encrypting,O,VBG,I-Entity
21,it,O,PRP,I-Entity
21,with,O,IN,I-Entity
21,proper,B-relevant_term,NN,I-Entity
21,asymmetric,O,NN,I-Entity
21,encryption,O,NN,I-Entity
21,or,O,CC,I-Entity
21,embedding,B-malware.backdoor,VBG,I-Entity
21,it,O,PRP,I-Entity
21,into,B-malware.backdoor,IN,I-Entity
21,media,O,NNS,I-Entity
21,files,O,NNS,I-Entity
21,using,B-malware.drop,VBG,I-Entity
21,steganography,O,NN,I-Entity
21,to,B-relevant_term,TO,B-Modifier
21,hide,O,NN,B-Entity
21,the,O,DT,I-Entity
21,data,O,NNS,I-Entity
21,from,O,IN,I-Entity
21,traffic,O,NN,I-Entity
21,inspection,O,NN,I-Entity
21,.,O,.,O
22,For,O,IN,O
22,example,B-relevant_term,NN,O
22,",",O,",",O
22,some,O,DT,B-Entity
22,malware,O,NN,I-Entity
22,samples,O,NNS,I-Entity
22,will,O,MD,O
22,send,O,NN,B-Action
22,the,O,DT,B-Entity
22,data,O,NNS,I-Entity
22,in,O,IN,B-Modifier
22,smaller,O,JJR,B-Entity
22,bursts,O,NNS,I-Entity
22,so,O,RB,B-Modifier
22,as,O,IN,I-Modifier
22,not,B-malware.infosteal,RB,B-Entity
22,to,B-relevant_term,TO,I-Entity
22,swamp,O,NN,I-Entity
22,the,O,DT,I-Entity
22,network,O,NN,I-Entity
22,or,O,CC,I-Entity
22,generate,O,NN,I-Entity
22,network,O,NN,I-Entity
22,spikes,O,NNS,I-Entity
22,that,B-malware.backdoor,IN,I-Entity
22,might,B-relevant_term,MD,I-Entity
22,attract,O,NN,I-Entity
22,attention,O,NN,I-Entity
22,.,O,.,O
23,Since,O,IN,O
23,most,B-application,JJS,O
23,employees,O,NNS,O
23,use,O,NN,O
23,laptops,O,NNS,O
23,",",O,",",O
23,the,O,DT,B-Entity
23,malware,O,NN,I-Entity
23,can,O,MD,O
23,use,O,NN,B-Action
23,location,O,NN,B-Entity
23,awareness,O,NN,I-Entity
23,to,B-relevant_term,TO,B-Modifier
23,detect,O,NN,B-Entity
23,if,O,IN,I-Entity
23,the,O,DT,I-Entity
23,compromised,O,VBN,I-Entity
23,computer,B-os,NN,I-Entity
23,is,B-relevant_term,VBZ,I-Entity
23,outside,O,IN,I-Entity
23,of,B-malware.backdoor,IN,I-Entity
23,the,O,DT,I-Entity
23,corporate,O,JJ,I-Entity
23,network,O,NN,I-Entity
23,and,O,CC,O
23,send,O,NN,B-Action
23,the,O,DT,B-Entity
23,data,O,NNS,I-Entity
23,once,O,RB,B-Modifier
23,it,O,PRP,B-Entity
23,'s,O,POS,I-Entity
23,directly,B-malware.backdoor,RB,I-Entity
23,connected,O,VBN,I-Entity
23,to,B-relevant_term,TO,I-Entity
23,the,O,DT,I-Entity
23,Internet,B-version,NN,I-Entity
23,",",O,",",I-Entity
23,such,O,JJ,I-Entity
23,as,O,IN,I-Entity
23,from,O,IN,I-Entity
23,a,O,DT,I-Entity
23,Wi-Fi,O,JJ,I-Entity
23,hotspot,O,NN,I-Entity
23,at,O,IN,I-Entity
23,an,B-malware.backdoor,DT,I-Entity
23,airport,O,NN,I-Entity
23,.,O,.,O
24,This,O,DT,O
24,might,B-relevant_term,MD,O
24,allow,O,VB,O
24,the,O,DT,B-Entity
24,traffic,O,NN,I-Entity
24,to,B-relevant_term,TO,O
24,bypass,B-malware.backdoor,NN,B-Action
24,perimeter,O,NN,B-Entity
24,security,O,NN,I-Entity
24,and,O,CC,O
24,receive,B-relevant_term,NN,B-Action
24,less,O,RBR,B-Entity
24,scrutiny,O,NN,I-Entity
24,.,O,.,O
25,In,O,IN,O
25,such,O,JJ,O
25,cases,O,NNS,O
25,",",O,",",O
25,a,O,DT,B-Entity
25,previously,O,RB,I-Entity
25,compromised,O,VBN,I-Entity
25,computer,B-os,NN,I-Entity
25,in,O,IN,I-Entity
25,the,O,DT,I-Entity
25,DMZ,O,NN,I-Entity
25,can,O,MD,O
25,act,B-malware.backdoor,NN,B-Action
25,as,O,IN,B-Modifier
25,a,O,DT,B-Entity
25,proxy,B-relevant_term,NN,I-Entity
25,",",O,",",O
25,forwarding,O,VBG,B-Action
25,all,O,DT,B-Entity
25,the,O,DT,I-Entity
25,collected,O,VBN,I-Entity
25,data,O,NNS,I-Entity
25,.,O,.,O
26,The,O,DT,B-Entity
26,malware,O,NN,I-Entity
26,deletes,O,NNS,B-Action
26,all,O,DT,B-Entity
26,files,O,NNS,I-Entity
26,on,O,IN,I-Entity
26,a,O,DT,I-Entity
26,computer,B-os,NN,I-Entity
26,and,O,CC,O
26,then,O,RB,O
26,deletes,O,NNS,B-Action
26,the,O,DT,B-Entity
26,master,O,NN,I-Entity
26,boot,O,NN,I-Entity
26,record,O,NN,I-Entity
26,",",O,",",O
26,rendering,O,VBG,B-Action
26,the,O,DT,B-Entity
26,computer,B-os,NN,I-Entity
26,unusable,O,JJ,B-Entity
26,.,O,.,O
27,This,O,DT,O
27,section,O,NN,O
27,describes,O,NNS,O
27,a,O,DT,B-Entity
27,highly,O,RB,I-Entity
27,targeted,B-malware.backdoor,VBN,I-Entity
27,attack,O,NN,I-Entity
27,sent,O,NN,B-Action
27,to,B-relevant_term,TO,B-Modifier
27,an,O,DT,B-Entity
27,e-mail,B-relevant_term,NN,I-Entity
27,address,O,NN,I-Entity
27,belonging,O,NN,I-Entity
27,to,B-relevant_term,TO,I-Entity
27,RSS,O,NN,I-Entity
27,.,O,.,O
28,The,O,DT,B-Entity
28,attack,O,NN,I-Entity
28,took,O,VBD,B-Action
28,the,O,DT,B-Entity
28,form,O,NN,I-Entity
28,of,B-malware.backdoor,IN,I-Entity
28,an,O,DT,I-Entity
28,unsolicited,B-relevant_term,JJ,I-Entity
28,e-mail,I-relevant_term,NN,I-Entity
28,containing,O,VBG,I-Entity
28,a,O,DT,I-Entity
28,download,B-malware.backdoor,NN,I-Entity
28,link,O,NN,I-Entity
28,to,B-relevant_term,TO,I-Entity
28,a,O,DT,I-Entity
28,decoy,O,NN,I-Entity
28,file,O,NN,I-Entity
28,.,O,.,O
29,The,O,DT,O
29,file,O,NN,O
29,contained,O,VBN,O
29,custom,B-relevant_term,NN,B-Entity
29,malware,O,NN,I-Entity
29,that,B-malware.backdoor,IN,O
29,profiled,B-relevant_term,VBN,B-Action
29,the,O,DT,B-Entity
29,victim,O,NN,I-Entity
29,'s,O,POS,I-Entity
29,computer,B-os,NN,I-Entity
29,and,O,CC,O
29,beaconed,O,VBN,B-Action
29,its,O,PRP$,B-Entity
29,IP,O,NN,I-Entity
29,address,O,NN,I-Entity
29,to,B-relevant_term,TO,B-Modifier
29,an,O,DT,B-Entity
29,e-mail,B-relevant_term,NN,I-Entity
29,account,B-relevant_term,NN,I-Entity
29,under,O,IN,I-Entity
29,the,O,DT,I-Entity
29,attacker,O,NN,I-Entity
29,'s,O,POS,I-Entity
29,control,O,NN,I-Entity
29,.,O,.,O
30,The,O,DT,B-Entity
30,unsolicited,B-relevant_term,JJ,I-Entity
30,message,O,NN,I-Entity
30,below,B-malware.drop,IN,I-Entity
30,was,O,VBD,B-Action
30,sent,O,NN,I-Action
30,to,B-relevant_term,TO,B-Modifier
30,RSS,O,NN,B-Entity
30,at,O,IN,B-Modifier
30,the,O,DT,B-Entity
30,end,O,NN,I-Entity
30,of,B-malware.backdoor,IN,I-Entity
30,November,O,NNP,I-Entity
30,2014,B-relevant_term,-NUM-,I-Entity
30,from,O,IN,B-Modifier
30,a,O,DT,B-Entity
30,Gmail,O,NN,I-Entity
30,email,O,NN,I-Entity
30,address,O,NN,I-Entity
30,.,O,.,O
31,However,O,RB,O
31,",",O,",",O
31,we,O,PRP,O
31,note,O,NN,O
31,that,B-malware.backdoor,IN,O
31,the,O,DT,B-Entity
31,attacker,O,NN,I-Entity
31,also,O,RB,O
31,attempts,O,NNS,O
31,to,B-relevant_term,TO,O
31,social,O,JJ,B-Action
31,engineer,O,NN,I-Action
31,the,O,DT,B-Entity
31,identity,O,NN,I-Entity
31,of,B-malware.backdoor,IN,I-Entity
31,individuals,O,NNS,I-Entity
31,working,O,VBG,I-Entity
31,with,O,IN,I-Entity
31,RSS,O,NN,I-Entity
31,",",O,",",O
31,by,O,IN,O
31,requesting,B-malware.infosteal,VBG,O
31,a,O,DT,O
31,personal,O,JJ,O
31,Facebook,O,NN,O
31,page,O,NN,O
31,.,O,.,O
32,The,O,DT,B-Entity
32,custom,B-relevant_term,NN,I-Entity
32,malware,O,NN,I-Entity
32,used,O,VBN,I-Entity
32,in,O,IN,I-Entity
32,this,O,DT,I-Entity
32,attack,O,NN,I-Entity
32,infects,O,NNS,B-Action
32,a,O,DT,B-Entity
32,user,O,NN,I-Entity
32,who,O,WP,I-Entity
32,views,O,NNS,I-Entity
32,the,O,DT,I-Entity
32,decoy,O,NN,I-Entity
32,'',O,'',I-Entity
32,slideshow,O,NN,I-Entity
32,",",O,",",I-Entity
32,'',O,'',I-Entity
32,and,O,CC,O
32,beacons,O,NNS,B-Action
32,home,O,NN,B-Entity
32,with,O,IN,B-Modifier
32,the,O,DT,B-Entity
32,IP,O,NN,I-Entity
32,address,O,NN,I-Entity
32,of,O,IN,I-Entity
32,the,O,DT,I-Entity
32,victim,O,NN,I-Entity
32,'s,O,POS,I-Entity
32,computer,B-os,NN,I-Entity
32,and,O,CC,O
32,details,O,NNS,B-Entity
32,about,O,IN,I-Entity
32,his,O,PRP$,I-Entity
32,or,O,CC,I-Entity
32,her,O,PRP$,I-Entity
32,system,O,NN,I-Entity
32,each,O,DT,B-Modifier
32,time,O,NN,B-Entity
32,the,O,DT,I-Entity
32,computer,B-os,NN,I-Entity
32,restarts,O,NNS,I-Entity
32,.,O,.,O
33,Unlike,O,IN,O
33,Syrian,B-relevant_term,JJ,O
33,regime-linked,I-relevant_term,JJ,O
33,malware,O,NN,O
33,",",O,",",O
33,it,O,PRP,O
33,contains,O,NNS,O
33,no,O,DT,O
33,Remote,O,VB,O
33,Access,O,NN,O
33,Trojan,O,NN,O
33,(,B-relevant_term,(,O
33,RAT,O,NN,O
33,),O,),O
33,functionality,O,NN,O
33,",",O,",",O
33,suggesting,O,VBG,O
33,it,O,PRP,B-Entity
33,is,B-relevant_term,VBZ,O
33,intended,O,VBN,O
33,for,O,IN,O
33,identifying,O,VBG,B-Action
33,and,O,CC,I-Action
33,locating,O,VBG,I-Action
33,a,O,DT,B-Entity
33,target,O,NN,I-Entity
33,.,O,.,O
34,Further,O,RB,O
34,",",O,",",O
34,because,O,IN,O
34,the,O,DT,B-Entity
34,malware,O,NN,I-Entity
34,sends,O,NNS,B-Action
34,data,O,NNS,B-Entity
34,captured,O,VBN,I-Entity
34,by,O,IN,I-Entity
34,the,O,DT,I-Entity
34,malware,O,NN,I-Entity
34,to,B-relevant_term,TO,B-Modifier
34,an,O,DT,B-Entity
34,e-mail,B-relevant_term,NN,I-Entity
34,address,O,NN,I-Entity
34,",",O,",",O
34,it,O,PRP,O
34,does,O,VBZ,O
34,not,B-malware.drop,RB,O
34,require,O,NN,O
34,that,B-malware.backdoor,IN,O
34,the,O,DT,O
34,attackers,O,NNS,O
34,maintain,O,NN,O
34,a,O,DT,O
34,command-and-control,O,NN,O
34,server,O,NN,O
34,online,O,NN,O
34,.,O,.,O
35,Examples,O,NNS,O
35,of,B-malware.backdoor,IN,O
35,images,O,NNS,O
35,in,O,IN,O
35,the,O,DT,O
35,slideshow,O,NN,O
35,as,O,IN,O
35,follows,O,VBZ,O
35,:,O,:,O
35,When,O,WRB,B-Modifier
35,opened,B-relevant_term,VBN,B-Entity
35,",",O,",",O
35,the,O,DT,B-Entity
35,'',O,'',I-Entity
35,slideshow.zip,O,NN,I-Entity
35,'',O,'',I-Entity
35,file,O,NN,I-Entity
35,writes,O,NNS,B-Action
35,and,O,CC,O
35,executes,O,NNS,B-Action
35,several,O,JJ,B-Entity
35,files,O,NNS,I-Entity
35,:,O,:,O
35,'',O,'',O
35,AdobeR1.exe,O,NN,O
35,'',O,'',O
35,is,B-relevant_term,VBZ,O
35,malicious,O,JJ,O
35,",",O,",",O
35,while,O,IN,O
35,'',O,'',O
35,pictures.exe,O,NN,O
35,'',O,'',O
35,is,B-relevant_term,VBZ,O
35,the,O,DT,O
35,genuine,O,NN,O
35,slideshow,O,NN,O
35,displayed,O,NN,O
35,to,B-relevant_term,TO,O
35,the,O,DT,O
35,victim,O,NN,O
35,.,O,.,O
